index,brand,model,socket,form_factor,ram_slots,max_ram,color,price
0,ASRock,760GM-GS3,AM3,"Micro ATX",2,"{'total': 8000000000}","Black / Blue",NULL
1,ASRock,760GM-HDV,AM3+/AM3,"Micro ATX",2,"{'total': 32000000000}","Black / Blue",NULL
2,ASRock,"770 Extreme3",AM3,ATX,4,"{'total': 16000000000}","Black / White",NULL
3,ASRock,770iCafe,AM3+/AM3,ATX,4,"{'total': 16000000000}","Black / Blue",NULL
4,ASRock,"870 Extreme3",AM3,ATX,4,"{'total': 16000000000}","Black / Blue",NULL
5,ASRock,"870 Extreme3 R2.0",AM3+,ATX,4,"{'total': 32000000000}","Black / Blue",NULL
6,ASRock,"870iCafe R2.0",AM3+,ATX,4,"{'total': 32000000000}","Black / Blue",NULL
7,ASRock,"880G Extreme3",AM3,ATX,4,"{'total': 16000000000}","Black / Blue",NULL
8,ASRock,"880G Pro3",AM3,ATX,4,"{'total': 32000000000}","Black / Blue",NULL
9,ASRock,880GM-LE,AM3,"Micro ATX",2,"{'total': 8000000000}","Black / Blue",NULL
10,ASRock,"880GM-LE FX",AM3+,"Micro ATX",2,"{'total': 8000000000}","Black / Blue",NULL
11,ASRock,880GMH/U3S3,AM3+,"Micro ATX",4,"{'total': 32000000000}","Black / Blue",NULL
12,ASRock,880GMH/USB3,AM3,"Micro ATX",4,"{'total': 16000000000}","Black / Blue",NULL
13,ASRock,"880GMH/USB3 R2.0",AM3,"Micro ATX",4,"{'total': 16000000000}",NULL,NULL
14,ASRock,880GXH/USB3,AM3,ATX,4,"{'total': 16000000000}","Black / Blue",NULL
15,ASRock,"890FX Deluxe3",AM3,ATX,4,"{'total': 16000000000}","Black / Blue",NULL
16,ASRock,"890FX Deluxe4",AM3,ATX,4,"{'total': 16000000000}","Black / Blue",NULL
17,ASRock,"890FX Deluxe5",AM3+,ATX,4,"{'total': 32000000000}","Black / Blue",NULL
18,ASRock,"890GM Pro3",AM3,"Micro ATX",4,"{'total': 16000000000}","Black / Blue",NULL
19,ASRock,"890GX Extreme3",AM3,ATX,4,"{'total': 16000000000}","Black / Blue",NULL
20,ASRock,"890GX Extreme4",AM3,ATX,4,"{'total': 16000000000}","Black / Blue",NULL
21,ASRock,"890GX Pro3",AM3,ATX,4,"{'total': 32000000000}",NULL,NULL
22,ASRock,"960GM/U3S3 FX",AM3+,"Micro ATX",2,"{'total': 16000000000}","Black / Blue",NULL
23,ASRock,"970 EXTREME4",AM3+,ATX,4,"{'total': 32000000000}","Black / Blue",NULL
24,ASRock,"970 Extreme3",AM3+,ATX,4,"{'total': 32000000000}",Black,NULL
25,ASRock,"970 Extreme3 R2.0",AM3+,ATX,4,"{'total': 64000000000}","Brown / Black",NULL
26,ASRock,"970 Performance",AM3+,ATX,4,"{'total': 64000000000}","Black / Red",NULL
27,ASRock,"970 Pro3",AM3+,ATX,4,"{'total': 32000000000}","Brown / Black",NULL
28,ASRock,"970 Pro3 R2.0",AM3+,ATX,4,"{'total': 64000000000}","Brown / Black",NULL
29,ASRock,970A-G/3.1,AM3+/AM3,ATX,4,"{'total': 64000000000}","Black / Red",NULL
30,ASRock,970DE3/U3S3,AM3+,ATX,4,"{'total': 32000000000}","Black / Silver",NULL
31,ASRock,"970M PRO3",AM3+/AM3,"Micro ATX",4,"{'total': 64000000000}",Black,NULL
32,ASRock,980DE3/U3S3,AM3+,ATX,4,"{'total': 32000000000}",NULL,NULL
33,ASRock,"990FX Extreme3",AM3+/AM3,ATX,4,"{'total': 32000000000}","Black / Silver",NULL
34,ASRock,"990FX Extreme4",AM3+,ATX,4,"{'total': 32000000000}","Black / Blue",NULL
35,ASRock,"990FX Extreme9",AM3+,ATX,4,"{'total': 64000000000}","Black / Gold",NULL
36,ASRock,"990FX Killer",AM3+,ATX,4,"{'total': 64000000000}","Black / Red",NULL
37,ASRock,"990FX Killer/3.1",AM3+/AM3,ATX,4,"{'total': 64000000000}","Black / Red",NULL
38,ASRock,A320M,AM4,"Micro ATX",2,"{'total': 32000000000}","Black / Silver",NULL
39,ASRock,"A320M Pro4",AM4,"Micro ATX",4,"{'total': 64000000000}","Black / White",NULL
40,ASRock,A320M-DGS,AM4,"Micro ATX",2,"{'total': 32000000000}","Black / Silver",NULL
41,ASRock,"A320M-DVS R4.0",AM4,"Micro ATX",2,"{'total': 32000000000}","Black / Silver",NULL
42,ASRock,A320M-HDV,AM4,"Micro ATX",2,"{'total': 32000000000}","Black / Silver",NULL
43,ASRock,"A320M-HDV R3.0",AM4,"Micro ATX",2,"{'total': 32000000000}",Black,NULL
44,ASRock,"A320M-HDV R4.0",AM4,"Micro ATX",2,"{'total': 32000000000}","Black / White",NULL
45,ASRock,A320M-ITX,AM4,"Mini ITX",2,"{'total': 32000000000}","Black / Silver",NULL
46,ASRock,"A520M Pro4",AM4,"Micro ATX",4,"{'total': 128000000000}","Black / Silver",NULL
47,ASRock,A520M-HDV,AM4,"Micro ATX",2,"{'total': 64000000000}","Black / Silver",NULL
48,ASRock,A520M-HDVP,AM4,"Micro ATX",2,"{'total': 64000000000}","Black / Silver",NULL
49,ASRock,A520M-HDVP/DASH,AM4,"Micro ATX",2,"{'total': 64000000000}","Black / Silver",NULL
50,ASRock,A520M-HVS,AM4,"Micro ATX",2,"{'total': 64000000000}","Black / Silver",NULL
51,ASRock,A520M-ITX/ac,AM4,"Mini ITX",2,"{'total': 64000000000}","Black / Silver",NULL
52,ASRock,A520M/ac,AM4,"Micro ATX",2,"{'total': 64000000000}","Black / Silver",NULL
53,ASRock,"A55 Pro3",FM1,ATX,4,"{'total': 32000000000}","Black / Blue",NULL
54,ASRock,A55M-HVS,FM1,"Micro ATX",2,"{'total': 16000000000}","Black / Blue",NULL
55,ASRock,A55M-VS,FM1,"Micro ATX",2,"{'total': 16000000000}","Brown / Black",NULL
56,ASRock,A68M-ITX,FM2+,"Mini ITX",2,"{'total': 32000000000}","Black / Orange",NULL
57,ASRock,"A75 Extreme6",FM1,ATX,4,"{'total': 32000000000}","Black / Blue",NULL
58,ASRock,"A75 Pro4",FM1,ATX,4,"{'total': 32000000000}","Black / Blue",NULL
59,ASRock,"A75 Pro4-M",FM1,"Micro ATX",4,"{'total': 32000000000}","Black / Blue",NULL
60,ASRock,"A75 Pro4/MVP",FM1,ATX,4,"{'total': 32000000000}","Brown / Black",NULL
61,ASRock,A75M,FM1,"Micro ATX",2,"{'total': 16000000000}","Black / Blue",NULL
62,ASRock,A75M-HVS,FM1,"Micro ATX",2,"{'total': 16000000000}","Black / Blue",NULL
63,ASRock,A75M-ITX,FM1,"Mini ITX",2,"{'total': 16000000000}","Black / Blue",NULL
64,ASRock,A770DE+,AM3/AM2+/AM2,ATX,4,"{'total': 16000000000}",NULL,NULL
65,ASRock,A780LM-S,AM3/AM2+/AM2,"Micro ATX",2,"{'total': 8000000000}",Multicolor,NULL
66,ASRock,A785GM-LE,AM3/AM2+/AM2,"Micro ATX",2,"{'total': 8000000000}",Multicolor,NULL
67,ASRock,A785GM-LE/128M,AM3/AM2+/AM2,"Micro ATX",2,"{'total': 8000000000}",Multicolor,NULL
68,ASRock,A785GMH/128M,AM3/AM2+/AM2,"Micro ATX",4,"{'total': 16000000000}",NULL,NULL
69,ASRock,A785GXH/128M,AM3/AM2+/AM2,ATX,4,"{'total': 16000000000}",NULL,NULL
70,ASRock,A790GMH/128M,AM3/AM2+/AM2,"Micro ATX",4,"{'total': 16000000000}",NULL,NULL
71,ASRock,A88M-G/3.1,FM2+,"Micro ATX",4,"{'total': 64000000000}","Black / Red",NULL
72,ASRock,"AB350 Gaming-ITX/ac",AM4,"Mini ITX",2,"{'total': 32000000000}","Black / Red",NULL
73,ASRock,"AB350 Pro4",AM4,ATX,4,"{'total': 64000000000}","Black / White",NULL
74,ASRock,AB350M,AM4,"Micro ATX",2,"{'total': 32000000000}","Black / White",NULL
75,ASRock,"AB350M Pro4",AM4,"Micro ATX",4,"{'total': 64000000000}","Black / White",NULL
76,ASRock,AB350M-HDV,AM4,"Micro ATX",2,"{'total': 32000000000}","Black / White",NULL
77,ASRock,AD2500B-ITX,"Integrated Atom D2500","Mini ITX",2,"{'total': 4000000000}","Black / Silver",NULL
78,ASRock,AD2550R/U3S3,"Integrated Atom D2550","Mini ITX",2,"{'total': 4000000000}","Black / Green",NULL
79,ASRock,AD2700-ITX,"Integrated Atom D2700","Mini ITX",2,"{'total': 4000000000}","Black / Blue",NULL
80,ASRock,AD2700B-ITX,"Integrated Atom D2700","Mini ITX",2,"{'total': 4000000000}","Black / Blue",NULL
81,ASRock,AD525PV3,"Integrated Atom D525","Mini ITX",2,"{'total': 8000000000}","Black / Blue",NULL
82,ASRock,AM1B-M,AM1,"Micro ATX",2,"{'total': 32000000000}","Black / Silver",NULL
83,ASRock,AM1B-MDH,AM1,"Micro ATX",2,"{'total': 16000000000}","Black / Silver",NULL
84,ASRock,"B150 GAMING K4/HYPER",LGA1151,ATX,4,"{'total': 64000000000}","Black / Red",NULL
85,ASRock,"B150 Gaming K4",LGA1151,ATX,4,"{'total': 64000000000}","Black / Red",NULL
86,ASRock,"B150 PRO4/D3",LGA1151,ATX,4,"{'total': 64000000000}","Black / Orange",NULL
87,ASRock,"B150M Pro4",LGA1151,"Micro ATX",4,"{'total': 64000000000}","Black / Orange",NULL
88,ASRock,"B150M Pro4/D3",LGA1151,"Micro ATX",4,"{'total': 64000000000}","Black / Orange",NULL
89,ASRock,"B150M Pro4/Hyper",LGA1151,"Micro ATX",4,"{'total': 64000000000}","Black / White",NULL
90,ASRock,"B150M Pro4S",LGA1151,"Micro ATX",4,"{'total': 64000000000}","Black / Orange",NULL
91,ASRock,"B150M Pro4S/D3",LGA1151,"Micro ATX",4,"{'total': 64000000000}","Black / Orange",NULL
92,ASRock,"B150M Pro4V",LGA1151,"Micro ATX",4,"{'total': 64000000000}","Black / Orange",NULL
93,ASRock,"B150M-DVS R2.0",LGA1151,"Micro ATX",2,"{'total': 32000000000}","Black / Orange",NULL
94,ASRock,B150M-HDS,LGA1151,"Micro ATX",2,"{'total': 32000000000}","Black / Orange",NULL
95,ASRock,B150M-HDV,LGA1151,"Micro ATX",2,"{'total': 32000000000}","Black / Orange",NULL
96,ASRock,B150M-HDV/D3,LGA1151,ATX,2,"{'total': 16000000000}","Black / Orange",NULL
97,ASRock,B150M-ITX,LGA1151,"Mini ITX",2,"{'total': 32000000000}","Black / Orange",NULL
98,ASRock,"B250 Pro4",LGA1151,ATX,4,"{'total': 64000000000}","Black / White",NULL
99,ASRock,"B250M Pro4",LGA1151,"Micro ATX",4,"{'total': 64000000000}","Black / White",NULL
100,ASRock,B250M-HDV,LGA1151,"Micro ATX",2,"{'total': 32000000000}","Black / White",NULL
101,ASRock,"B360 Pro4",LGA1151,ATX,4,"{'total': 64000000000}","Black / Silver",NULL
102,ASRock,"B360M Performance",LGA1151,"Micro ATX",4,"{'total': 64000000000}","Black / Silver",NULL
103,ASRock,"B360M Pro4",LGA1151,"Micro ATX",4,"{'total': 64000000000}","Black / Silver",NULL
104,ASRock,B360M-HDV,LGA1151,"Micro ATX",2,"{'total': 32000000000}","Black / Silver",NULL
105,ASRock,B360M-ITX/ac,LGA1151,"Mini ITX",2,"{'total': 32000000000}","Black / Silver",NULL
106,ASRock,"B365 Phantom Gaming 4",LGA1151,ATX,4,"{'total': 128000000000}","Black / Red",NULL
107,ASRock,"B365 Pro4",LGA1151,ATX,4,"{'total': 64000000000}","Black / Silver",NULL
108,ASRock,"B365M Phantom Gaming 4",LGA1151,"Micro ATX",4,"{'total': 128000000000}","Black / Red",NULL
109,ASRock,"B365M Pro4",LGA1151,"Micro ATX",4,"{'total': 64000000000}","Black / Silver",NULL
110,ASRock,B365M-HDV,LGA1151,"Micro ATX",2,"{'total': 32000000000}","Black / Silver",NULL
111,ASRock,B365M-ITX/ac,LGA1151,"Mini ITX",2,"{'total': 32000000000}","Black / Silver",NULL
112,ASRock,"B450 Pro4",AM4,ATX,4,"{'total': 64000000000}","Black / Silver",NULL
113,ASRock,"B450 Steel Legend",AM4,ATX,4,"{'total': 64000000000}","Black / Silver",NULL
114,ASRock,"B450M PRO4",AM4,"Micro ATX",4,"{'total': 64000000000}","Black / Silver",NULL
115,ASRock,"B450M Pro4-F",AM4,"Micro ATX",4,"{'total': 64000000000}","Black / Silver",NULL
116,ASRock,"B450M Steel Legend",AM4,"Micro ATX",4,"{'total': 64000000000}","Black / White",NULL
117,ASRock,B450M-HDV,AM4,"Micro ATX",2,"{'total': 32000000000}","Black / Silver",NULL
118,ASRock,"B450M-HDV R4.0",AM4,"Micro ATX",2,"{'total': 32000000000}","Black / White",NULL
119,ASRock,B450M/AC,AM4,"Micro ATX",4,"{'total': 64000000000}",Black,NULL
120,ASRock,"B460 Phantom Gaming 4",LGA1200,ATX,4,"{'total': 128000000000}",Black,NULL
121,ASRock,"B460 Pro4",LGA1200,ATX,4,"{'total': 128000000000}","Black / Silver",NULL
122,ASRock,"B460 Steel Legend",LGA1200,ATX,4,"{'total': 128000000000}","Black / Silver",NULL
123,ASRock,"B460M Pro4",LGA1200,"Micro ATX",4,"{'total': 128000000000}","Black / Silver",NULL
124,ASRock,"B460M Steel Legend",LGA1200,"Micro ATX",4,"{'total': 128000000000}","Black / Silver",NULL
125,ASRock,B460M-HDV,LGA1200,"Micro ATX",2,"{'total': 64000000000}",Black,NULL
126,ASRock,B460M-ITX/ac,LGA1200,"Mini ITX",2,"{'total': 64000000000}","Black / Silver",NULL
127,ASRock,"B550 Extreme4",AM4,ATX,4,"{'total': 128000000000}","Blue / Black",NULL
128,ASRock,"B550 PG Velocita",AM4,ATX,4,"{'total': 128000000000}","Silver / Black",NULL
129,ASRock,"B550 Phantom Gaming 4",AM4,ATX,4,"{'total': 128000000000}","Silver / Black",NULL
130,ASRock,"B550 Phantom Gaming 4/ac",AM4,ATX,4,"{'total': 128000000000}","Silver / Black",NULL
131,ASRock,"B550 Phantom Gaming-ITX/ax",AM4,"Mini ITX",2,"{'total': 64000000000}","Silver / Black",NULL
132,ASRock,"B550 Pro4",AM4,ATX,4,"{'total': 128000000000}","Silver / Black",NULL
133,ASRock,"B550 Steel Legend",AM4,ATX,4,"{'total': 128000000000}","Silver / Black",NULL
134,ASRock,"B550 Taichi",AM4,ATX,4,"{'total': 128000000000}","Gold / Black",NULL
135,ASRock,"B550M Phantom Gaming 4",AM4,"Micro ATX",4,"{'total': 128000000000}",Black,NULL
136,ASRock,"B550M Pro4",AM4,"Micro ATX",4,"{'total': 128000000000}","Silver / Black",NULL
137,ASRock,"B550M Steel Legend",AM4,"Micro ATX",4,"{'total': 128000000000}","Silver / Black",NULL
138,ASRock,B550M-HDV,AM4,"Micro ATX",2,"{'total': 64000000000}",Black,NULL
139,ASRock,B550M-ITX/ac,AM4,"Mini ITX",2,"{'total': 64000000000}","Silver / Black",NULL
140,ASRock,B550M/ac,AM4,"Micro ATX",4,"{'total': 128000000000}","Black / White",NULL
141,ASRock,"B75 Pro3",LGA1155,ATX,4,"{'total': 32000000000}","Brown / Black",NULL
142,ASRock,"B75 Pro3-M",LGA1155,"Micro ATX",4,"{'total': 32000000000}","Brown / Black",NULL
143,ASRock,B75M,LGA1155,"Micro ATX",2,"{'total': 16000000000}","Brown / Black",NULL
144,ASRock,"B75M R2.0",LGA1155,"Micro ATX",2,"{'total': 16000000000}","Brown / Black",NULL
145,ASRock,B75M-DGS,LGA1155,"Micro ATX",2,"{'total': 16000000000}","Brown / Black",NULL
146,ASRock,"B75M-DGS R2.0",LGA1155,"Micro ATX",2,"{'total': 16000000000}","Brown / Black",NULL
147,ASRock,B75M-GL,LGA1155,"Micro ATX",2,"{'total': 16000000000}","Brown / Black",NULL
148,ASRock,"B75M-GL R2.0",LGA1155,"Micro ATX",2,"{'total': 16000000000}","Brown / Black",NULL
149,ASRock,B75M-ITX,LGA1155,"Mini ITX",2,"{'total': 16000000000}","Brown / Black",NULL
150,ASRock,"B85 Anniversary",LGA1150,ATX,4,"{'total': 32000000000}","Black / Blue",NULL
151,ASRock,"B85 Killer",LGA1150,ATX,4,"{'total': 32000000000}","Black / Red",NULL
152,ASRock,"B85 Pro4",LGA1150,ATX,4,"{'total': 32000000000}","Brown / Black",NULL
153,ASRock,B85M,LGA1150,"Micro ATX",2,"{'total': 16000000000}","Brown / Black",NULL
154,ASRock,"B85M Pro4",LGA1150,"Micro ATX",4,"{'total': 32000000000}","Brown / Black",NULL
155,ASRock,"B85M Pro4/ASM",LGA1150,"Micro ATX",4,"{'total': 32000000000}",NULL,NULL
156,ASRock,B85M-DGS,LGA1150,"Micro ATX",2,"{'total': 16000000000}",Black,NULL
157,ASRock,B85M-GL,LGA1150,"Micro ATX",2,"{'total': 16000000000}","Brown / Black",NULL
158,ASRock,B85M-HDS,LGA1150,"Micro ATX",2,"{'total': 16000000000}","Black / Silver",NULL
159,ASRock,B85M-ITX,LGA1150,"Mini ITX",2,"{'total': 16000000000}",NULL,NULL
160,ASRock,"C226M WS",LGA1150,"Micro ATX",4,"{'total': 32000000000}","Green / Blue",NULL
161,ASRock,C226WS,LGA1150,ATX,4,"{'total': 32000000000}","Brown / Black",NULL
162,ASRock,"C236 WSI",LGA1151,"Mini ITX",2,"{'total': 32000000000}","Green / Blue",NULL
163,ASRock,"C236M WS",LGA1151,"Micro ATX",4,"{'total': 64000000000}","Green / Blue",NULL
164,ASRock,"C246 WS",LGA1151,ATX,4,"{'total': 64000000000}","Green / Blue",NULL
165,ASRock,"C246M WS",LGA1151,"Micro ATX",4,"{'total': 64000000000}","Green / Blue",NULL
166,ASRock,C2550D4I,"Integrated Atom C2550","Mini ITX",4,"{'total': 64000000000}","White / Blue",NULL
167,ASRock,C2750D4I,"Integrated Atom C2750","Mini ITX",4,"{'total': 64000000000}","White / Blue",NULL
168,ASRock,C70M1,"Integrated C-Series C-70","Mini ITX",2,"{'total': 16000000000}","Black / Blue",NULL
169,ASRock,D1520D4I,"Integrated Xeon D-1520","Mini ITX",4,"{'total': 128000000000}","Black / Green",NULL
170,ASRock,E350M1,"Integrated E-Series E-350","Mini ITX",2,"{'total': 16000000000}","Black / Blue",NULL
171,ASRock,E350M1/USB3,"Integrated E-Series E-350","Mini ITX",2,"{'total': 16000000000}","Black / Blue",NULL
172,ASRock,E3C222D4U,LGA1150,"Micro ATX",4,"{'total': 32000000000}","Green / Blue",NULL
173,ASRock,E3C224,LGA1150,ATX,4,"{'total': 32000000000}","Green / Blue",NULL
174,ASRock,E3C224-4L,LGA1150,ATX,4,"{'total': 32000000000}","Green / Blue",NULL
175,ASRock,E3C224-V+,LGA1150,ATX,4,"{'total': 32000000000}","Green / Blue",NULL
176,ASRock,E3C224-V4L,LGA1150,ATX,4,"{'total': 32000000000}","Green / Blue",NULL
177,ASRock,E3C224D2I,LGA1150,"Mini ITX",2,"{'total': 16000000000}","Blue / White",NULL
178,ASRock,E3C224D4M-16RE,LGA1150,ATX,4,"{'total': 32000000000}","Green / Blue",NULL
179,ASRock,E3C226D2I,LGA1150,"Mini ITX",2,"{'total': 16000000000}",Green,NULL
180,ASRock,E3C232D4U-V1L,LGA1151,"Micro ATX",4,"{'total': 64000000000}","Green / Blue",NULL
181,ASRock,E3C236D2I,LGA1151,"Mini ITX",2,"{'total': 32000000000}","Green / Blue",NULL
182,ASRock,E3C236D4U,LGA1151,"Micro ATX",4,"{'total': 64000000000}",Green,NULL
183,ASRock,E3C246D4U,LGA1151,"Micro ATX",4,"{'total': 128000000000}",Green,NULL
184,ASRock,"E3V5 Performance Gaming/OC",LGA1151,ATX,4,"{'total': 64000000000}","Black / Red",NULL
185,ASRock,"E3V5 WS",LGA1151,ATX,4,"{'total': 64000000000}","Black / White",NULL
186,ASRock,EP2C602,"2 x LGA2011","SSI EEB",8,"{'total': 64000000000}","Green / Blue",NULL
187,ASRock,EP2C602-4L/D16,"2 x LGA2011","SSI EEB",16,"{'total': 512000000000}","Blue / White",NULL
188,ASRock,"EP2C612 WS","2 x LGA2011-3","SSI EEB",8,"{'total': 256000000000}","Black / Blue",NULL
189,ASRock,EP2C612D16C-4L,"2 x LGA2011-3 Narrow","SSI EEB",16,"{'total': 1024000000000}","Green / Blue",NULL
190,ASRock,EP2C612D16SM,"2 x LGA2011-3 Narrow","SSI EEB",16,"{'total': 1024000000000}","Green / Blue",NULL
191,ASRock,EP2C612D16SM-2T,"2 x LGA2011-3 Narrow","SSI EEB",16,"{'total': 1024000000000}","Green / Blue",NULL
192,ASRock,EPC612D4I,"LGA2011-3 Narrow","Mini ITX",4,"{'total': 64000000000}","Black / Green",NULL
193,ASRock,EPC612D4U-2T8R,"LGA2011-3 Narrow","Micro ATX",4,"{'total': 512000000000}","Green / Blue",NULL
194,ASRock,EPC612D4U-8R,"LGA2011-3 Narrow","Micro ATX",4,"{'total': 512000000000}","Green / Blue",NULL
195,ASRock,EPC612D8A,"LGA2011-3 Narrow",ATX,8,"{'total': 256000000000}","Green / Blue",NULL
196,ASRock,EPC612D8A-TB,"LGA2011-3 Narrow",ATX,8,"{'total': 256000000000}","Green / Blue",NULL
197,ASRock,"FATAL1TY 970 PERFORMANCE/3.1",AM3+/AM3,ATX,4,"{'total': 64000000000}","Black / Red",NULL
